Point,Coordinate_1,Coordinate_2,X_Axis,Y_Axis,Z_Axis
0,32570,2997046032,4.59163e-41,0,0
0,323,326,4.59163e-41,0,0
0,323,326,0.505804,0.679924,5.91981e-07
5,32570,2997046032,4.59163e-41,0,0
5,395,226,4.59163e-41,0,0
5,395,226,0.618028,0.471907,-0.0355902
6,32570,2997046032,4.59163e-41,0,0
6,417,186,4.59163e-41,0,0
6,417,186,0.652813,0.389465,-0.0591185
9,32570,2997046032,4.59163e-41,0,0
9,366,214,4.59163e-41,0,0
9,366,214,0.573081,0.446595,-0.0371431
10,32570,2997046032,4.59163e-41,0,0
10,375,167,4.59163e-41,0,0
10,375,167,0.585963,0.349715,-0.0553274
0,32570,2997046032,4.59163e-41,0,0
0,319,320,4.59163e-41,0,0
0,319,320,0.499963,0.667718,6.08569e-07
5,32570,2997046032,4.59163e-41,0,0
5,394,223,4.59163e-41,0,0
5,394,223,0.616712,0.466246,-0.035811
6,32570,2997046032,4.59163e-41,0,0
6,419,186,4.59163e-41,0,0
6,419,186,0.655365,0.388219,-0.0587442
9,32570,2997046032,4.59163e-41,0,0
9,367,210,4.59163e-41,0,0
9,367,210,0.573442,0.438234,-0.0375371
10,32570,2997046032,4.59163e-41,0,0
10,376,164,4.59163e-41,0,0
10,376,164,0.588108,0.342126,-0.0549225
0,32570,2997046032,4.59163e-41,0,0
0,318,311,4.59163e-41,0,0
0,318,311,0.497895,0.648791,6.22553e-07
5,32570,2997046032,4.59163e-41,0,0
5,390,219,4.59163e-41,0,0
5,390,219,0.610866,0.458249,-0.0393215
6,32570,2997046032,4.59163e-41,0,0
6,415,182,4.59163e-41,0,0
6,415,182,0.649961,0.379183,-0.0632431
9,32570,2997046032,4.59163e-41,0,0
9,363,206,4.59163e-41,0,0
9,363,206,0.568267,0.429582,-0.0404613
10,32570,2997046032,4.59163e-41,0,0
10,374,160,4.59163e-41,0,0
10,374,160,0.584947,0.334997,-0.0586363
0,32570,2997046032,4.59163e-41,0,0
0,317,303,4.59163e-41,0,0
0,317,303,0.496258,0.63196,6.72132e-07
5,32570,2997046032,4.59163e-41,0,0
5,388,211,4.59163e-41,0,0
5,388,211,0.606876,0.441358,-0.0451028
6,32570,2997046032,4.59163e-41,0,0
6,411,174,4.59163e-41,0,0
6,411,174,0.643595,0.362515,-0.0710922
9,32570,2997046032,4.59163e-41,0,0
9,360,198,4.59163e-41,0,0
9,360,198,0.563347,0.413213,-0.0446545
10,32570,2997046032,4.59163e-41,0,0
10,370,152,4.59163e-41,0,0
10,370,152,0.579454,0.316745,-0.0641306
0,32570,2997046032,4.59163e-41,0,0
0,316,296,4.59163e-41,0,0
0,316,296,0.494621,0.618422,6.56391e-07
5,32570,2997046032,4.59163e-41,0,0
5,386,205,4.59163e-41,0,0
5,386,205,0.603533,0.427418,-0.0491193
6,32570,2997046032,4.59163e-41,0,0
6,409,167,4.59163e-41,0,0
6,409,167,0.64043,0.348819,-0.0762702
9,32570,2997046032,4.59163e-41,0,0
9,357,191,4.59163e-41,0,0
9,357,191,0.558969,0.39976,-0.0484521
10,32570,2997046032,4.59163e-41,0,0
10,366,146,4.59163e-41,0,0
10,366,146,0.573137,0.304537,-0.070041
0,32570,2997046032,4.59163e-41,0,0
0,316,294,4.59163e-41,0,0
0,316,294,0.493933,0.613469,6.33036e-07
5,32570,2997046032,4.59163e-41,0,0
5,385,199,4.59163e-41,0,0
5,385,199,0.602153,0.415988,-0.0432882
6,32570,2997046032,4.59163e-41,0,0
6,409,162,4.59163e-41,0,0
6,409,162,0.639602,0.339519,-0.0676883
9,32570,2997046032,4.59163e-41,0,0
9,357,187,4.59163e-41,0,0
9,357,187,0.557854,0.390183,-0.0439851
10,32570,2997046032,4.59163e-41,0,0
10,363,142,4.59163e-41,0,0
10,363,142,0.567447,0.296832,-0.0638312
0,32570,2997046032,4.59163e-41,0,0
0,316,291,4.59163e-41,0,0
0,316,291,0.494544,0.607857,6.83737e-07
5,32570,2997046032,4.59163e-41,0,0
5,384,198,4.59163e-41,0,0
5,384,198,0.601243,0.412779,-0.0472236
6,32570,2997046032,4.59163e-41,0,0
6,408,161,4.59163e-41,0,0
6,408,161,0.638829,0.337474,-0.0723054
9,32570,2997046032,4.59163e-41,0,0
9,356,185,4.59163e-41,0,0
9,356,185,0.556998,0.386469,-0.0464902
10,32570,2997046032,4.59163e-41,0,0
10,363,140,4.59163e-41,0,0
10,363,140,0.56771,0.293204,-0.0665874
0,32570,2997046032,4.59163e-41,0,0
0,318,289,4.59163e-41,0,0
0,318,289,0.497565,0.603637,6.98106e-07
5,32570,2997046032,4.59163e-41,0,0
5,388,200,4.59163e-41,0,0
5,388,200,0.606652,0.416767,-0.0472198
6,32570,2997046032,4.59163e-41,0,0
6,413,163,4.59163e-41,0,0
6,413,163,0.645326,0.340412,-0.0725355
9,32570,2997046032,4.59163e-41,0,0
9,360,186,4.59163e-41,0,0
9,360,186,0.5637,0.387739,-0.0468125
10,32570,2997046032,4.59163e-41,0,0
10,369,140,4.59163e-41,0,0
