Point,Coordinate_1,Coordinate_2,X_Axis,Y_Axis,Z_Axis
10,469,136,0.733474,0.283562,-0.047858
0,32679,845699152,4.59121e-41,0,0
0,420,277,4.59121e-41,0,0
0,420,277,0.657766,0.577486,4.96956e-07
5,32679,845699152,4.59121e-41,0,0
5,491,186,4.59121e-41,0,0
5,491,186,0.767392,0.389387,-0.0310224
6,32679,845699152,4.59121e-41,0,0
6,511,147,4.59121e-41,0,0
6,511,147,0.798685,0.308028,-0.0515585
9,32679,845699152,4.59121e-41,0,0
9,464,176,4.59121e-41,0,0
9,464,176,0.725027,0.366863,-0.03424
10,32679,845699152,4.59121e-41,0,0
10,472,128,4.59121e-41,0,0
10,472,128,0.738501,0.268477,-0.0503693
0,32679,845699152,4.59121e-41,0,0
0,421,274,4.59121e-41,0,0
0,421,274,0.657874,0.572074,4.72634e-07
5,32679,845699152,4.59121e-41,0,0
5,491,184,4.59121e-41,0,0
5,491,184,0.768473,0.38372,-0.0306225
6,32679,845699152,4.59121e-41,0,0
6,512,145,4.59121e-41,0,0
6,512,145,0.801082,0.302289,-0.0512783
9,32679,845699152,4.59121e-41,0,0
9,464,173,4.59121e-41,0,0
9,464,173,0.726528,0.361209,-0.0340556
10,32679,845699152,4.59121e-41,0,0
10,473,127,4.59121e-41,0,0
10,473,127,0.739682,0.2648,-0.0503446
0,32679,845699152,4.59121e-41,0,0
0,419,275,4.59121e-41,0,0
0,419,275,0.655045,0.573786,4.66909e-07
5,32679,845699152,4.59121e-41,0,0
5,492,182,4.59121e-41,0,0
5,492,182,0.769411,0.380991,-0.0270292
6,32679,845699152,4.59121e-41,0,0
6,512,143,4.59121e-41,0,0
6,512,143,0.800636,0.298859,-0.0467683
9,32679,845699152,4.59121e-41,0,0
9,465,171,4.59121e-41,0,0
9,465,171,0.726649,0.357484,-0.0305161
10,32679,845699152,4.59121e-41,0,0
10,474,124,4.59121e-41,0,0
10,474,124,0.740735,0.260362,-0.0458024
0,32679,845699152,4.59121e-41,0,0
0,420,272,4.59121e-41,0,0
0,420,272,0.657325,0.567872,4.82024e-07
5,32679,845699152,4.59121e-41,0,0
5,493,182,4.59121e-41,0,0
5,493,182,0.770617,0.379406,-0.0320266
6,32679,845699152,4.59121e-41,0,0
6,513,142,4.59121e-41,0,0
6,513,142,0.802995,0.297031,-0.0536287
9,32679,845699152,4.59121e-41,0,0
9,465,171,4.59121e-41,0,0
9,465,171,0.72771,0.356581,-0.0351461
10,32679,845699152,4.59121e-41,0,0
10,474,124,4.59121e-41,0,0
10,474,124,0.741729,0.259168,-0.0522555
0,32679,845699152,4.59121e-41,0,0
0,422,271,4.59121e-41,0,0
0,422,271,0.659659,0.566455,4.85598e-07
5,32679,845699152,4.59121e-41,0,0
5,493,180,4.59121e-41,0,0
5,493,180,0.771869,0.376081,-0.0326349
6,32679,845699152,4.59121e-41,0,0
6,514,141,4.59121e-41,0,0
6,514,141,0.804288,0.294164,-0.0540395
9,32679,845699152,4.59121e-41,0,0
9,466,169,4.59121e-41,0,0
9,466,169,0.728289,0.352483,-0.0350838
10,32679,845699152,4.59121e-41,0,0
10,474,122,4.59121e-41,0,0
10,474,122,0.741702,0.254973,-0.0521586
0,32679,845699152,4.59121e-41,0,0
0,423,270,4.59121e-41,0,0
0,423,270,0.661316,0.562611,4.74672e-07
5,32679,845699152,4.59121e-41,0,0
5,494,178,4.59121e-41,0,0
5,494,178,0.772971,0.371476,-0.0305726
6,32679,845699152,4.59121e-41,0,0
6,514,138,4.59121e-41,0,0
6,514,138,0.804414,0.289148,-0.0515641
9,32679,845699152,4.59121e-41,0,0
9,467,167,4.59121e-41,0,0
9,467,167,0.72984,0.348245,-0.0338547
10,32679,845699152,4.59121e-41,0,0
10,475,120,4.59121e-41,0,0
10,475,120,0.743087,0.250646,-0.0501658
0,32679,845699152,4.59121e-41,0,0
0,425,267,4.59121e-41,0,0
0,425,267,0.665304,0.557058,4.60638e-07
5,32679,845699152,4.59121e-41,0,0
5,496,174,4.59121e-41,0,0
5,496,174,0.775079,0.363336,-0.030535
6,32679,845699152,4.59121e-41,0,0
6,515,135,4.59121e-41,0,0
6,515,135,0.805131,0.282625,-0.0515674
9,32679,845699152,4.59121e-41,0,0
9,468,163,4.59121e-41,0,0
9,468,163,0.73192,0.340226,-0.0339007
10,32679,845699152,4.59121e-41,0,0
10,475,116,4.59121e-41,0,0
10,475,116,0.743439,0.243379,-0.0504859
0,32679,845699152,4.59121e-41,0,0
0,424,264,4.59121e-41,0,0
0,424,264,0.663231,0.551974,4.81482e-07
5,32679,845699152,4.59121e-41,0,0
5,495,169,4.59121e-41,0,0
5,495,169,0.774439,0.354161,-0.0282061
6,32679,845699152,4.59121e-41,0,0
6,515,130,4.59121e-41,0,0
6,515,130,0.804843,0.271716,-0.0480513
9,32679,845699152,4.59121e-41,0,0
9,468,158,4.59121e-41,0,0
9,468,158,0.731597,0.330889,-0.0308188
10,32679,845699152,4.59121e-41,0,0
10,475,111,4.59121e-41,0,0
10,475,111,0.743318,0.232666,-0.0456845
0,32679,845699152,4.59121e-41,0,0
0,425,258,4.59121e-41,0,0
0,425,258,0.664592,0.53839,4.70311e-07
5,32679,845699152,4.59121e-41,0,0
5,495,165,4.59121e-41,0,0
5,495,165,0.7748,0.345099,-0.0303212
6,32679,845699152,4.59121e-41,0,0
6,515,126,4.59121e-41,0,0
6,515,126,0.806158,0.263232,-0.0509342
9,32679,845699152,4.59121e-41,0,0
9,468,154,4.59121e-41,0,0
9,468,154,0.731532,0.322313,-0.033819
10,32679,845699152,4.59121e-41,0,0
10,475,107,4.59121e-41,0,0
10,475,107,0.742778,0.223273,-0.0508803
0,32679,845699152,4.59121e-41,0,0
0,423,254,4.59121e-41,0,0
0,423,254,0.662134,0.530777,4.80431e-07
5,32679,845699152,4.59121e-41,0,0
5,494,160,4.59121e-41,0,0
5,494,160,0.771965,0.333429,-0.0294494
6,32679,845699152,4.59121e-41,0,0
6,513,120,4.59121e-41,0,0
6,513,120,0.80217,0.250772,-0.0500507
9,32679,845699152,4.59121e-41,0,0
9,466,150,4.59121e-41,0,0
9,466,150,0.728381,0.312552,-0.0333092
10,32679,845699152,4.59121e-41,0,0
10,472,102,4.59121e-41,0,0
10,472,102,0.738361,0.214418,-0.0502144
0,32679,845699152,4.59121e-41,0,0
0,424,249,4.59121e-41,0,0
0,424,249,0.662635,0.51907,4.91923e-07
5,32679,845699152,4.59121e-41,0,0
5,491,154,4.59121e-41,0,0
5,491,154,0.767631,0.322567,-0.0327823
6,32679,845699152,4.59121e-41,0,0
6,510,115,4.59121e-41,0,0
6,510,115,0.797492,0.240436,-0.0546479
9,32679,845699152,4.59121e-41,0,0
9,463,145,4.59121e-41,0,0
9,463,145,0.723934,0.302819,-0.035965
10,32679,845699152,4.59121e-41,0,0
10,468,97,4.59121e-41,0,0
10,468,97,0.73248,0.203918,-0.0544793
0,32679,845699152,4.59121e-41,0,0
0,425,242,4.59121e-41,0,0
0,425,242,0.66473,0.505634,4.97805e-07
5,32679,845699152,4.59121e-41,0,0
5,490,148,4.59121e-41,0,0
5,490,148,0.766299,0.30845,-0.0300429
6,32679,845699152,4.59121e-41,0,0
6,509,109,4.59121e-41,0,0
6,509,109,0.79578,0.227854,-0.0509154
9,32679,845699152,4.59121e-41,0,0
9,462,138,4.59121e-41,0,0
9,462,138,0.723038,0.287694,-0.0324196
10,32679,845699152,4.59121e-41,0,0
10,467,91,4.59121e-41,0,0
10,467,91,0.730579,0.190332,-0.0497483
0,32679,845699152,4.59121e-41,0,0
0,426,235,4.59121e-41,0,0
