0,32562,3709028272,4.59135e-41,0,0
0,363,312,4.59135e-41,0,0
0,363,312,0.568422,0.651079,2.77436e-07
5,32562,3709028272,4.59135e-41,0,0
5,433,226,4.59135e-41,0,0
5,433,226,0.677183,0.471156,-0.0372983
6,32562,3709028272,4.59135e-41,0,0
6,455,189,4.59135e-41,0,0
6,455,189,0.711029,0.394457,-0.061935
9,32562,3709028272,4.59135e-41,0,0
9,406,213,4.59135e-41,0,0
9,406,213,0.635879,0.445472,-0.0409139
10,32562,3709028272,4.59135e-41,0,0
10,414,169,4.59135e-41,0,0
10,414,169,0.646968,0.35285,-0.0623498
0,32562,3709028272,4.59135e-41,0,0
0,357,314,4.59135e-41,0,0
0,357,314,0.558668,0.65532,4.97902e-07
5,32562,3709028272,4.59135e-41,0,0
5,438,224,4.59135e-41,0,0
5,438,224,0.68454,0.467386,-0.0361909
6,32562,3709028272,4.59135e-41,0,0
6,461,187,4.59135e-41,0,0
6,461,187,0.721443,0.390852,-0.060421
9,32562,3709028272,4.59135e-41,0,0
9,409,211,4.59135e-41,0,0
9,409,211,0.640106,0.44087,-0.0382187
10,32562,3709028272,4.59135e-41,0,0
10,418,166,4.59135e-41,0,0
10,418,166,0.653773,0.346042,-0.058794
0,32562,3709028272,4.59135e-41,0,0
0,359,314,4.59135e-41,0,0
0,359,314,0.562305,0.655236,4.66502e-07
5,32562,3709028272,4.59135e-41,0,0
5,440,225,4.59135e-41,0,0
5,440,225,0.688243,0.470453,-0.0356935
6,32562,3709028272,4.59135e-41,0,0
6,463,187,4.59135e-41,0,0
6,463,187,0.724268,0.390433,-0.058956
9,32562,3709028272,4.59135e-41,0,0
9,411,211,4.59135e-41,0,0
9,411,211,0.643329,0.440712,-0.0379521
10,32562,3709028272,4.59135e-41,0,0
10,422,164,4.59135e-41,0,0
10,422,164,0.660112,0.342263,-0.0566808
0,32562,3709028272,4.59135e-41,0,0
0,360,313,4.59135e-41,0,0
0,360,313,0.563112,0.653671,4.73802e-07
5,32562,3709028272,4.59135e-41,0,0
5,440,227,4.59135e-41,0,0
5,440,227,0.688902,0.473347,-0.0345375
6,32562,3709028272,4.59135e-41,0,0
6,466,189,4.59135e-41,0,0
6,466,189,0.728218,0.394409,-0.056739
9,32562,3709028272,4.59135e-41,0,0
9,411,212,4.59135e-41,0,0
9,411,212,0.643549,0.441681,-0.0376254
10,32562,3709028272,4.59135e-41,0,0
10,424,163,4.59135e-41,0,0
10,424,163,0.663116,0.34073,-0.0551423
0,32562,3709028272,4.59135e-41,0,0
0,360,310,4.59135e-41,0,0
0,360,310,0.5632,0.646543,4.30997e-07
5,32562,3709028272,4.59135e-41,0,0
5,440,226,4.59135e-41,0,0
5,440,226,0.687662,0.472843,-0.0395038
6,32562,3709028272,4.59135e-41,0,0
6,464,188,4.59135e-41,0,0
6,464,188,0.726196,0.392372,-0.0628712
9,32562,3709028272,4.59135e-41,0,0
9,410,211,4.59135e-41,0,0
9,410,211,0.640772,0.440455,-0.0410746
10,32562,3709028272,4.59135e-41,0,0
10,422,162,4.59135e-41,0,0
10,422,162,0.659904,0.339188,-0.059318
0,32562,3709028272,4.59135e-41,0,0
0,357,310,4.59135e-41,0,0
0,357,310,0.558981,0.647226,4.4453e-07
5,32562,3709028272,4.59135e-41,0,0
5,434,226,4.59135e-41,0,0
5,434,226,0.679454,0.471596,-0.0381135
6,32562,3709028272,4.59135e-41,0,0
6,458,187,4.59135e-41,0,0
6,458,187,0.71696,0.39032,-0.0607294
9,32562,3709028272,4.59135e-41,0,0
9,405,210,4.59135e-41,0,0
9,405,210,0.632905,0.439401,-0.0399732
10,32562,3709028272,4.59135e-41,0,0
